question,answer
 ما هو مقدار الزكاة الواجب دفعه على شركتنا التي تمارس نشاطًا صناعيًّا؟ ,مقدار الزكاة الواجب دفعه على شركة تقوم بنشاط صناعي
 سائل يسأل عن ضوابط اللعب المباح في الشرع؟ ,ضوابط شرعية في الألعاب الإلكترونية الترفيهية المباحة
 يقول السائل: ما حكم بيع الأسنان المخلوعة لطلاب كلية الطب بقصد التَّعلُّم؟ ,حكم بيع أسنان الإنسان المخلوعة للأطباء وطلاب كليات الطب
 يقول السائل: أشعر أحيانًا بأني في حاجة إلى الترويح عن نفسي باللعب مع أصدقائي؛ فهل ذلك يُعدُّ غفلة عن طاعة الله؟ ,بيان اهتمام الإسلام بالترويح المباح عن النفس
 ما حكم قراءة القرآن الكريم على الميت أثناء الدفن وبعده؟ ,قراءة القرآن الكريم على الميت أثناء الدفن وبعده
 يقول سائل: توجد مقابر مِلْك لمؤسسة، هذه المقابر قد امتلأت عن آخرها بما فيها العظَّامات بحوش المقابر بالأرض؛ وحيث إنَّ تعداد المؤسسة تعدّى ثلاثة آلاف مشترك. فما هي الحلول الشرعية في التعامل مع الموتى عند امتلاء القبور خاصة عند الضرورة؟ وهل يجوز عمل عَظَّامات فوق المقابر؟ ,حكم عمل عَظَّامات فوق المقابر عند امتلائها
 سائل يسأل عمَّا يستفاد من قول الله جل وعلا في حديثه القدسي: «مَنْ عَادَى لِي وَلِيًّا فَقَدْ آذَنْتُهُ بِالْحَرْبِ»؟ ,بيان معنى حديث: «مَنْ عَادَى لِي وَلِيًّا فَقَدْ آذَنْتُهُ بِالْحَرْبِ»
" يقول سائل: نجد في الكتب العقائدية مصطلح ""أهل الفترة"" فما المقصود من هذا المصطلح؟ ","بيان المعنى المراد من مصطلح ""أهل الفترة"""
 ما معنى لفظ: ﴿وُدًّا﴾ في قوله تعالى: ﴿إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَيَجْعَلُ لَهُمُ الرَّحْمَنُ وُدًّا﴾؟ وما المراد من الآية الكريمة؟ ,بيان المعنى المراد من قوله تعالى: ﴿إِنَّ الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ سَيَجْعَلُ لَهُمُ الرَّحْمَنُ وُدًّا﴾
 تُوفّي رجل وزوجته وأولاده في حادث واحد، ولم يُعْلَم أيّهم مات أولًا؛ وقد ترك المُتوفَّى المذكور وثيقة تأمين وقد حدَّد فيها المستفيدين من مبلغ التأمين وهم: زوجته وأولاده؛ فكيف يُقَسَّم مبلغ هذه الوثيقة؟ ,ميراث من ماتوا في حادث واحد من غير معرفة من مات أولا، وتقسيم مبلغ التأمين
 هل يجوز صرف أموال الزكاة في تعليم وتدريب وتأهيل ذوي الهمم من المكفوفين وضعاف البصر؟ ,حكم صرف الزكاة في تعليم وتأهيل ذوي الهمم
 يقول السائل: أقسمت على المصحف الشريف بأن ابني إذا فعل أمرًا معيّنًا لا أساعده في تعليمه من الناحية المادية، ولم يحترم ابني يميني، وقام بفعل هذا الأمر. فما حكم الشرع في ذلك. ,حكم الحلف على المصحف وكفارته إذا رأى الحالف غيره خيرًا منه
 يزعم بعض الناس أن الاستغاثة بالأنبياء والأولياء والصالحين الأموات أو الغائبين كفر؛ فنرجو منكم الرد على هذا الزعم؟ ,الرد على دعوى منع الاستغاثة بالأنبياء والأولياء والصالحين وبيان خطر تكفير المسلمين
 يقول السائل: نرجو منكم بيان مدى حرمة التنمر على الغير شرعًا وخطورته اجتماعيًّا. ,حرمة التنمر شرعًا وخطورته اجتماعيًّا
 سائل يقول: ما مصير النساء المؤمنات القانتات في يوم الحساب؟ وهل يشتركن في الهبة التي يهبها الله لأزواجهم المؤمنين في الآخرة؟ ,مشاركة الزوجات الصالحات لأزواجهن في الجنة
 سائل يسأل عن المعنى المقصود من قوله تعالى: ﴿وَمَا كُنَّا مُعَذِّبِينَ حَتَّى نَبْعَثَ رَسُولًا﴾؟ ,بيان المعنى المراد من قوله تعالى: ﴿وَمَا كُنَّا مُعَذِّبِينَ حَتَّى نَبْعَثَ رَسُولًا﴾
 ما حكم إخراج الزكاة على المال المدخر لشراء شقة للأسرة؟ فأنا لديَّ مبلغ من المال يستحق أداء الزكاة عنه أودعته في البنك؛ لشراء شقة نعيش فيها أنا وزوجي وأولادي تليق بمركز زوجي الاجتماعي، مع العلم أن مرتب زوجي لا يكفي الأسرة لآخر الشهر في الاحتياجات العادية جدًّا. فهل أُخرِج الزكاة على هذا المال؟ ,حكم إخراج الزكاة على المال المدخر لشراء شقة للأسرة
 سائل يقول: ترغب جمعية بإحدى القرى الريفية في فتح مشروعات فعلية للشباب، وستقوم الجمعية بمتابعة هذه المشروعات للنهوض بالمنطقة، ولا يوجد للجمعية أي موارد سوى قروض الصندوق الاجتماعي لتشغيل الشباب، والصندوق يحصل على فائدة بسيطة؛ فما حكم ذلك شرعًا؟ ,حكم التسهيلات المالية التي تقدمها إحدى جمعيات تنمية المجتمع
 ما ثواب قراءة القرآن الكريم في حال ما إذا لم يكن القارئ ملمًّا إلمامًا كافيًا بمعانيه وأهدافه؟ ,ثواب قراءة القرآن لغير الماهر بقراءته ولمن لا يفهم معانيه
 سائل يسأل عن مدى ضرورة الالتزام بالقوانين التي تضعها الدول للدخول إليها والخروج منها، وهل هي واجبة شرعًا؟ ,ضرورة الالتزام بالقوانين التي تضعها الدولة للدخول إليها والخروج منها
 ما حكم ترك الصلاة خلف إمام بدعوى كونه متصوفا؟ حيث يخرج عددٌ من المصلين في بلدتنا من المسجد، ولا يُؤدّون الصلاة خلف إمام المسجد بحجة أنَّه متصوفٌ وينتظم في سلك إحدى الطرق الصوفية، وأنَّه يقوم بزيارة أضرحة آل البيت والأولياء، وهو بذلك في نظرهم يكون قد أشرك، كما أنَّه يقيم حلقات الذكر وهم يرونها بدعة؛ فما حكم الشرع في فعل هؤلاء المصلين؟ ,حكم ترك الصلاة خلف إمام بدعوى كونه متصوفا
 يقول السائل: يقوم بعض الشباب باتباع أسلوب الهجرة غير الشرعية؛ من أجل الوصول إلى بعض البلاد والإقامة فيها من دون موافقة قوانين هذه البلاد، فنرجو منكم بيان حكم ذلك شرعًا؟ ,بيان خطورة الهجرة غير الشرعية والتحذير منها شرعًا
 يقول السائل: 1- هل يجوز تجديد المقابر القديمة القابلة للسقوط وإعادة لفّ الرُّفَات في كفن جديد حتى يتمّ التجديد ثم إعادتها؟ 2- هل يجوز دهان المقابر بعد دفن الجثث؟ 3- هل يجوز وضع لافتات على المقابر بأسماء الأشخاص المتوفين؟ ,حكم تجديد المقابر القديمة وكتابة أسماء المتوفين عليها
 ما حكم قضاء السنن الرواتب التابعة للصلاة المفروضة؟ ,حكم قضاء السنن الرواتب التابعة للصلوات المفروضة ووقت قضائها
 تعاقدت مع شركة عقارية تبيع وحدات سكنية بنظام التقسيط، وجميع إجراءات التعاقد والشيكات تكون مع الشركة وباسمها، ويكون تسلم الوحدة المُتَعَاقَد عليها بعد سنتين، وتشترط هذه الشركة على نفسها بإعطائي مبلغًا ماليًّا ثابتًا من نسبة مُقَدَّم الحجز الذي سأدفعه لجدِّية التعاقد، وذلك في صورة شيك مُسْتَحَق كل ثلاثة شهور حتى مدة الاستلام، فما حكم الشرع في ذلك؟ ,حكم شراء شقة بالتقسيط بمقدم حجز مع استرداد جزء من المقدم قبل الاستلام
 توفي رجل وكان قد خصص وثيقة تأمينه لصالح شقيقته الوحيدة وأولادها، مع العلم بأنه متزوج وليس له أولاد، وترك ورثة شرعيين وهم: زوجة، وأخت شقيقة، وعمان شقيقان. فهل يتم توزيع مبلغ التعويض على الورثة فقط، أو يتم توزيعه على الأشخاص الذين تم تخصيصهم في وثيقة التأمين -أخته وأولادها-؟ ,كيفية توزيع أموال التأمينات عند تحديد المستفيدين ومدى أحقية الورثة الشرعيين فيه
 ما حكم الشرع في بناء المقابر بالطوب الأحمر الحراري (الذي به فتحات) والمعتاد استعماله في بناء البيوت؟ ,حكم بناء المقابر بالطوب الأحمر الحراري
 ما مدى صحة وجود ألفاظ غير عربية في القرآن الكريم؟ وهل وجود هذه الألفاظ في القرآن الكريم يتنافى مع كونه قرآنًا عربيًّا؛ فنرجو منكم بيان الرأي السديد في ذلك؟ ,مدى صحة وجود ألفاظ غير عربية في القرآن الكريم
 ما حكم الوصية بحرمان أحد المستحقين بالوصية الواجبة من نصيبه؟حيث توفيت امرأة عن أربعة أبناء وثلاث بنات، وولدي ابنها المتوفى أولًا قبلها: ابن وبنت، وولدي ابنها المتوفى ثانيًا قبلها: ابن وبنت، وابني ابنها المتوفى ثالثًا قبلها. ولم تترك المتوفاة المذكورة أي وارث آخر غير مَن ذُكِروا؛ فما نصيب كل وارث ومستحق؟ وقد أوصت المتوفاة المذكورة بوصية بخط يدها بعدم توريث ابني ابنها المتوفى ثالثًا قبلها؛ حيث إنها أُجبِرت على عدم الميراث منه من قِبَلِ زوجته بدعوى سداد ما عليه من ديون. فما حكم هذه الوصية؟ ,حكم الوصية بحرمان أحد المستحقين بالوصية الواجبة من نصيبه
 سائل يقول: قام بعض الناس بشراء قطعة أرض مجاورة للمسجد وألحقوها به يفرشونها أيام الجمع والأعياد حينما يضيق المسجد برواده؛ فهل يجوز استغلال هذه المساحة الملحقة في أنشطة تعليمية واجتماعية ورياضية لأطفال وشباب المسلمين في غير أيام الجمع والأعياد؟ ,حكم استغلال مساحة ملحقة بالمسجد في الأنشطة النافعة العامة
 ما حكم بيع وشراء العملات والحسابات داخل الألعاب الإلكترونية؟ حيث توجد بعض الألعاب المنتشرة على شبكة الإنترنت تكون بين مجموعة من اللاعبين، يأخذ كل متسابق في بداية اللعبة عددًا من العملات الخاصة باللعبة (coins)، فإذا خسر قَلَّ عدد هذه العملات، وإذا تقدم في اللعبة زاد عددها، كما أنَّ اللاعب عند وصوله إلى مستوى معين يكون قد جمع الكثير من هذه العملات ولا يكون في حاجة إليها، فيبيعها لغيره بأموال حقيقية، عن طريق تحويلها إلى حساب الشخص الآخر في اللعبة، أو يبيع حساب اللعبة (account) بالكامل، بأن يعطي اسم الحساب والرقم السري للمشتري؛ فما حكم ذلك شرعًا؟ ,حكم بيع وشراء العملات والحسابات داخل الألعاب الإلكترونية
 سائل يسأل عن مدى اهتمام الإسلام بالنظافة والطهارة؟ ,بيان مدى اهتمام الإسلام بالنظافة والطهارة
 ما الدعاء الوارد عن النبي صلى الله عليه وآله وسلم عن اشتداد المطر؟ ,الدعاء المستحب عند اشتداد المطر
 ما حكم الشرع في هذه الأصوات التي انتشرت في الآونة الأخيرة وتطعن في أولياء الله الصالحين، وتنتقص من قدرهم ومكانتهم؟ ,التحذير من الطعن في الأولياء والصالحين من آل البيت والانتقاص من قدرهم
 سائل يقول: ما حكم الشرع في قيام بعض الصيادلة بشراء وبيع الأدوية المهربة مجهولة المصدر غير المصرح بها من وزارة الصحة؟ علمًا بأن تناول مثل هذه الأدوية قد يترتّب عليه الإضرار بالمرضى؛ لعدم مطابقة هذه الأدوية للمواصفات. ,حكم شراء وبيع الأدوية مجهولة المصدر
 تُوفّي رجلٌ عن: زوجة، وثلاثة أبناء وبنت؛ فما حكم الشرع في الأموال الممنوحة من التأمينات للزوجة وحدها من دون باقي الورثة، وما حكم ذهب الزوجة، وقائمة المنقولات، ومؤخر الصداق؟ ولم يترك المُتوفَّى المذكور أيّ وارث آخر غير مَن ذكروا ولا فرع يستحق وصية واجبة. فما نصيب كل وارث؟ ,حكم أموال التأمينات الممنوحة للزوجة وحقوقها بعد وفاة زوجها، وتقسيم تركة
 يقول السائل: أعطاني الله تعالى سعة من المال، وأريد أن أنفق جزءًا من مالي في صدقة جارية. فأرجو توضيح معنى الصدقة الجارية وبيان أفضل أبوابها؟ ,معنى الصدقة الجارية وأبوابها
 نرجو منكم بيان المكانة العلمية للسيد أحمد البدوي. فهناك سائل يقول: يفتري بعض الجهّال على السيد البدوي مدَّعين أنه جاهلٌ مجذوبٌ وليس بعالم؛ فنرجو منكم بيان الحق في هذا الأمر والرد على ذلك الافتراء. ,بيان المكانة العلمية للسيد أحمد البدوي
 سائل يسأل عن المراد من قول الحق سبحانه:﴿وَلَوْ رَدُّوهُ إِلَى الرَّسُولِ وَإِلَى أُولِي الْأَمْرِ مِنْهُمْ لَعَلِمَهُ الَّذِينَ يَسْتَنْبِطُونَهُ مِنْهُمْ﴾؟ ومَن هم أولي الأمر في الآية الكريمة؟ ,بيان المراد في قوله تعالى: ﴿وَلَوْ رَدُّوهُ إِلَى الرَّسُولِ وَإِلَى أُولِي الْأَمْرِ مِنْهُمْ لَعَلِمَهُ الَّذِينَ يَسْتَنْبِطُونَهُ مِنْهُمْ﴾
 سائلة تسأل عن سفر المرأة بدون محرم؟ وهل هذا يجوز شرعًا؟ ,حكم سفر المرأة بدون محرم إذا أمنت الطريق
 هل وقت نزول الأمطار يُعدُّ من الأوقات التي يُستجاب فيها الدعاء؟ ,استجابة الدعاء وقت نزول الأمطار
 ما حكم عمل برامج تسويق لمنتج طبي مستخلص من الخنزير واستخدامه في التداوي؛ فنحن نقوم بعمل برامج التسويق والبيع الخاصة بأحد المنتجات الطبية لإحدى الشركات الأجنبية، وهو يتكون من مادة الجلاتين بروسين في شكل إسفنجي، وهي مادة مستخلصة من الخنازير، وتقوم بوقف النزيف أثناء العمليات الجراحية، وتمتص داخل جسم الإنسان، فتساعد على نمو الأنسجة التالفة. علمًا بأن هذا المنتج تتم معالجته كيميائيًّا بمادة الميثانال ثم ضخّ غاز النيتروجين لتكوين الشكل الإسفنجي وليس بالاستخراج المباشر. ما الحكم الشرعي لاستخدام هذا المنتج والعمل في تسويقه؟ ,حكم عمل برامج تسويق لمنتج طبي مستخلص من الخنزير واستخدامه في التداوي
 سائل يسأل عمَّا يُفِيدُه حديث النبي عليه الصلاة والسلام: (أفضل الأعمال الصلاة على وقتها)، وهل جواب النبي صلى الله عليه وآله وسلم لمَّا سُئل عن ذلك يدل على وجوب أداء الصلاة في أول الوقت؟ ,بيان المراد من حديث: أفضل الأعمال الصلاة على وقتها
 سائل يقول: هناك مَن يقول أن السيد البدوي كانت له مهابةٌ ومكانةٌ عظيمة عند الأمراء والعلماء وعند الخاص والعام؛ فما مدى صحة ذلك؟ ,بيان مكانة سيدي أحمد البدوي حيًّا وميتًا عند الناس
 سائل يسأل عن مدى حاجة الناس إلى التعامل فيما بينهم؟ وهل يمكن الاستغناء عن ذلك؟ ويطلب بيان الحكمة في مسألة تقسيم الأرزاق. ,بيان مدى حاجة الناس إلى التعامل فيما بينهم، والحكمة من تفاوت الأرزاق
 سائل يسأل عن رأي فقهاء مذاهب الأئمة الأربعة المتبوعة في الاستغاثة بالأنبياء والصالحين والتوسل بهم. ,بيان رأي المذاهب الفقهية الأربعة في الاستغاثة بالأنبياء والصالحين والتوسل بهم
 يقول السائل: ما الدعاء الذي يستحب للإنسان أن يقوله إذا عصفت الريح؟ وهل سب الريح منهيّ عنه شرعًا؟ ,الدعاء المستحب إذا عصفت الريح والنهي عن سبها
 يقول السائل: هناك مَن يدَّعي أن السيد البدوي ليس من الأولياء، وإنما كان مجذوبًا وليس وليًّا، فهل هذا صحيح؟ وكيف نرد على مَن يدَّعي ذلك؟ ,الرد على من يدعي أن السيد أحمد البدوي ليس من الأولياء
 ما المراد من الدعاء المأثور عند نزول المطر: «اللَّهُم صَيِّبًا نَافِعًا»؟ ,المراد من الدعاء المأثور عند نزول المطر: «اللَّهُم صَيِّبًا نَافِعًا»
 سائل يقول: ما المراد من قول النبي صلى الله عليه وآله وسلم: «وَتُمِيطُ الْأَذَى عَنِ الطَّرِيقِ صَدَقَةٌ»، وهل هو يشمل كل ما يلحق الضرر بالناس؟ ,بيان المراد من الحديث الوارد: أن إماطة الأذى عن الطريق صدقة
 ما هو الثواب الذي أعده الله لمَن يعمل على إماطة الأذى عن طريق الناس ويقوم بذلك؟ ,بيان فضل إماطة الأذى عن الطريق
 في ظل ما حدث في الكون من تغيرات في المناخ ومنها التغيير الحاصل في المياه، كيف اهتمت الشريعة الإسلامية بالمياه ونبهت على ضرورة المحافظة عليها؟ ,اهتمام الشريعة الإسلامية وتشجيعها على حفظ المياه والتحذير من الإسراف فيها
" ما معنى ""راعنا""، في قوله سبحانه:﴿يَاأَيُّهَا الَّذِينَ آمَنُوا لَا تَقُولُوا رَاعِنَا وَقُولُوا انْظُرْنَا﴾[البقرة: 104]؟ ولماذا نهى المولى سبحانه وتعالى عن قول المؤمنين هذا اللفظ للنبي صلى الله عليه وآله وسلم؟ ","بيان معنى ""راعنا"" في قوله تعالى: ﴿يَا أَيُّهَا الَّذِينَ آمَنُوا لَا تَقُولُوا رَاعِنَا﴾"
 نَذَر رجلٌ وهو بكامل قُوَاه العقلية لأخويه جميعَ ما يملك، وعلَّق النذرَ بما قبل مَرَض موته بثلاثة أيام عملًا بمذهبه الشافعي، وقام بتوثيقه، فهل هذا النذر صحيحٌ عند الشافعية أو لا؟ ,ضوابط النذر المعلق ومدى صحته ونفاذه
 ما هي كيفية الدعاء للميت بعد الفراغ من الدفن؟ حيث يوجد سائل يسأل عن الدعاء على المقابر بعد الفراغ من دفن الميت، وهل يكون سرًّا بأن يدعو كل من الحاضرين في نفسه، أو يكون جهرًا بأن يقوم أحدهم بالدعاء ويُؤمّن الآخرون على دعائه؟ وما السنة في ذلك؟ ,كيفية الدعاء للميت بعد الفراغ من الدفن
 اعتاد بعض الناس عند حصول بعض الحوادث لهم أن يخاطبوا غيرهم بقولهم مثلًا: أستغيث بك، أو أرجوك، أو غير ذلك؛ فاعترض بعض الشباب ومنعوهم من ذلك، وبل أفرطوا في الأمر فقاموا باتهامهم بالشرك لمجرد صدور أمثال هذه الكلمات؛ فنرجو منكم بيان حكم الشرع في هذا الأمر؟ ,الحث على إحسان الظن بالناس في أفعالهم وأقوالهم وأحوالهم وحملها على أحسن الوجوه
 ما حكم جمع الصلوات بسبب المطر؟ ,حكم جمع الصلوات بسبب المطر
 ما هي الأعمال المستحبة شرعًا عند نزول المطر وهبوب الرياح وسماع الرعد؟ ,الأعمال المستحبة عند نزول المطر وهبوب الرياح وسماع الرعد
 ما ثواب تجفيف الطرقات من مياه الأمطار لأجل مصلحة من يسير فيها؟ ,ثواب تجفيف الطرقات من مياه الأمطار
 سائل يسأل عن كيفية وقوف المأموم مع الإمام إذا كان المأموم فردًا واحدًا، وهل يقف إلى جوار الإمام أو عن يمينه أو عن يساره؟ ,كيفية وقوف المأموم مع الإمام إذا كان المأموم فردًا واحدًا
 سائل يسأل عن حكم صلاة كسوف الشمس وصلاة خسوف القمر؟ وما كيفية أدائهما؟ ,بيان حكم صلاتي الكسوف والخسوف وكيفية أدائهما
 نرجو منكم بيان مدى مشروعية الذكر الجماعي والمديح النبوي والابتهالات. ,مدى مشروعية الذكر الجماعي والمديح والابتهالات
 سائل يقول: نحن بصدد عمل دار مناسبات ملحقة بالمسجد، ولكنها منفصلة عنه. فهل يجوز تخصيص مكان لعزاء السيدات؟ ,حكم تخصيص مكان لعزاء السيدات في دار مناسبات ملحقة بالمسجد
 يقول السائل: ما المعنى المراد من إضافة النسيان لله سبحانه وتعالى كما ورد في آياتالقرآن الكريم؟ وكيف نفهم هذه الآيات في حقه سبحانه وتعالى؟ ,بيان معنى النسيان في حق الله تعالى الوارد في آيات القرآن الكريم
 يقول السائل: أحرص دائمًا على تأخير صلاة العشاء إلى منتصف الليل؛ حتى أصليها مع زوجتي في جماعة، ونصلي ما شاء الله لنا من قيام الليل، فما حكم تأخير صلاة العشاء حتى منتصف الليل؟ ,حكم تأخير صلاة العشاء حتى منتصف الليل
 يقول السائل: يعاني صديق لي من مرض نفسي يحتاج إلى المتابعة مع الطبيب النفسي والعلاج؛ فهل يجب على مَن يُعَالج من مرض نفسي أن يخبر مخطوبته بذلك؟ ,مدى وجوب إخبار من يتعالج من مرض نفسي مخطوبته بذلك
 ما حكم زواج الرجل من حفيدة زوجته التي طلقها قبل الدخول؟ حيث تقول السائلة: تزوّجت جدتي أم والدي برجلٍ أجنبيّ، ثم طلقها زوجها قبل أن يدخل بها، ويريد هذا الرجل أن يتزوج ببنت ابن جدّتي؛ فهل يجوز ذلك شرعًا؟ ,زواج الرجل من حفيدة زوجته التي طلقها قبل الدخول
 يقول السائل: يزعم بعض الناس أنَّ السفر لزيارة قبور الأنبياء والصالحين؛ وذلك مثل شد الرحال لزيارة قبر نبينا الكريم سيدنا محمد صلى الله عليه وآله وسلم وغيره يُعدُّ بدعة؛ فنرجو منكم بيان الرأي الشرعي الصحيح في هذا الأمر؟ ,الرد على من زعم أن السفر لزيارة قبور الأنبياء والصالحين بدعة
 بماذا يفيد ترك النبي الشهادة على عطاء الصحابي بشير لولده النعمان؟ وهل هذا الترْكُ من النبي الكريم عليه الصلاة والسلام يفيد وجوب التسوية بين الأولاد في الهبة حال الحياة؟ ,بيان ما يفيده ترك النبي الشهادة على عطاء الصحابي بشير لولده النعمان
 يقول السائل: أتوسل في دعائي بالأولياء والصالحين؛ وأجد بعض الناس يقولون: إن الوسيلة نوعٌ من أنواع الشرك؛ فالرجاء بيان الرأي الشرعي الصحيح في هذه المسألة؟ ,بيان معنى الوسيلة وعدم صحة الخلط بينها وبين الشرك
 ما حكم تأخير أداء الصلاة عن أول وقتها لعذر؟ فعند سماع الأذان أكون منشغلًا في بعض الأعمال الضرورية التي تجعلني لا أستطيع أداء الصلاة في أول وقتها، ممَّا يضطرني إلى تأخير الصلاة لآخر وقتها. ,حكم تأخير أداء الصلاة عن أول وقتها لعذر
 نرجو من فضيلتكم بيان كيف يتعامل الزوج أو الزوجة إذا كان أحدهما يكثر من الإسراف في حقّ نفسه بمعصية الله تعالى. ,نصيحة في التعامل مع الزوج العاصي
 كيف نوفق بين حديث: «لا وصية لوارث» والعطاء للأبناء حال الحياة؟ لأن أبي كتب لأخي الصغير ثلث ممتلكاته، فما حكم ذلك شرعًا؟ وهل يتعارض ذلك مع قوله صلى الله عليه وآله وسلم: «إِنَّكَ أَنْ تَتْرُكَ وَرَثَتَكَ أَغْنِيَاءَ، خَيْرٌ مِنْ أَنْ تَتْرُكَهُمْ عَالَةً يَتَكَفَّفُونَ النَّاسَ»، وقوله: «لا وَصِيةَ لوارِثٍ»؟ ,التوفيق بين حديث: «لا وصية لوارث» والعطاء للأبناء حال الحياة
 ما المراد من قوله تعالى: ﴿وَأَمَّا بِنِعْمَةِ رَبِّكَ فَحَدِّثْ﴾؟ ,بيان المراد من قول تعالى: ﴿وَأَمَّا بِنِعْمَةِ رَبِّكَ فَحَدِّثْ﴾
 ما حكم خصم الضرائب من أموال الزكاة؟ ,حكم خصم الضرائب من زكاة المال
 ما حكم خصم الأموال المقترضة -وهي الديون- من زكاة المال؟ ,حكم خصم الديون من زكاة المال
 ما هي الآداب والسنن المستحبة للإنسان عند حصول ما يُفْزِعُهُ أو يخاف منه؟ ,ما يقوله الإنسان عند حصول ما يفزعه أو يخاف منه
 ما حكم خصم المصاريف العائلية والضرورية للحياة من الزكاة؟ ,حكم خصم المصاريف العائلية  من زكاة المال
 سائل يقول: أعلن مسجد عن جمع تبرعات لشراء سيارة لنقل الموتى، وتمَّ جمع مبلغ لا يكفي لشرائها، فهل نقوم بردّ المبلغ للمتبرعين، أو نضعه في مشاريع أخرى متعلقة بالمسجد؛ كحضانة ودار مناسبات مثلًا؟ ,حكم التصرف في أموال التبرعات في غير ما جمعت لأجله
 سائل يسأل عن مدى صحة سماع الموتى لمن يزورهم أو يسلم عليهم، وهل يشعر بهم؟ ,سماع الموتى لمن يزورهم أو يسلم عليهم وشعورهم به
 هل المراد من قوله تعالى:﴿فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُون﴾هو سؤال أهل العلم الشرعي فقط، أو يشمل أهل كلّ علم يحتاج إليه الإنسان في حياته؟ ,المعنى المراد من قوله تعالى: ﴿فَاسْأَلُوا أَهْلَ الذِّكْرِ إِنْ كُنْتُمْ لَا تَعْلَمُون﴾
 ما هي الآداب والسنن المستحبة عند هبوب رياح شديدة؟ ,الآداب والسنن المستحبة عند هبوب الرياح الشديدة
 سائل يقول: يرد على بعض ألسنة الخطباء في افتتاح خطبهم أنَّ النبي عليه الصلاة والسلام نصح الأمة وكشف الغمة، فما معنى أنه صلى الله عليه وآله وسلم كشف الغمة؟ ,بيان معنى وصف النبي عليه الصلاة والسلام بأنه كشف الغمة
 يقول السائل: والدي مريضٌ طاعنٌ في السن، ولا يستطيع التحرّك، ونساعده على القيام والجلوس؛ فما الكيفية الشرعية الصحيحة لأداء الصلاة في حقه؟ ,كيفية أداء الصلاة بالنسبة لشخص مريض كبير في السن
 سائل يسأل عن الفرق بين المعجزة والكرامة، وهل يوجد دليل على صحة كرامات الأولياء؟ ,الفرق بين المعجزة والكرامة وإثبات كرامات الأولياء
 هل ينعقد زواج امرأة بالغٍ ثيِّب شرعًا وهي غائبة عن مجلس العقد ببلد بعيد، ويُقبَض مهرها من وكيل وقَّع الوثيقة، وقَبَضَ مَن يزوجها المهر دون وكالة بالعقد أو القبض عنها؟ ,حكم تزويج المرأة الغائبة عن مجلس العقد ومن دون وكالة منها بذلك
 سائل يقول: رجلٌ وكَّل صديقًا له في دولة أخرى ليعقد قرانه على امرأة بعينها، فعقد قرانه على امرأة خلافها. فهل هذا العقد صحيح؟ ,مخالفة الوكيل شرط موكله في عقد الزواج
 هل يجوز لولي الأمر أن يقوم بتقييد الأمر المباح بهدف جمع كلمة الناس على رأي واحد ومن أجل ضبط النظام العام؟ ,تقييد ولي الأمر للمباح بقصد جمع الكلمة وضبط النظام العام
 يقول السائل: امرأة قامت بالزواج من زوج ابنتها التي دخل بها وعاشرها معاشرة الأزواج، فهل هذا الزواج صحيحٌ شرعًا؟ ,حكم زواج المرأة من زوج ابنتها التي دخل بها
" ما حكم قول: ""يا عباد الله أغيثوني""  عند الشدائد والكربات؟ حيث يقول السائل: إذا غاب عن الإنسان شيءٌ أو وقع في كرب وضيق؛ فقال: ""يا عباد الله أغيثونا""؛ فهل هذا صحيح وثابت شرعًا؟ لأننا وجدنا بعض الناس يُشكِّكون في ذلك. ","حكم قول: ""يا عباد الله أغيثوني""  عند الشدائد والكربات"
 هل يجوز تأخير الصلاة عن أول الوقت من أجل أدائها في جماعة؟ ,حكم تأخير الصلاة عن أول الوقت لأدائها في جماعة
 يقول السائل: يدَّعي بعض الناس جواز الاتّجار في المخدرات من غير تعاطيها، وأنه ليس حرامًا؛ لأنه لم يرد نصٌّ في القرآن الكريم أو السنة المشرفة بحرمة ذلك. فنرجو من منكم الردّ على ذلك وبيان الرأي الشرعي الصحيح. ,التحذير من الاتجار في المخدرات وبيان خطورة ذلك
 سائل يطلب النصيحة الشرعية في خصوص كيفية الاختيار والقبول عند إرادة الزواج؟ ,ضوابط شرعية في الاختيار عند الزواج
 سائل يطلب توضيحًا شرعيًّا من دار الإفتاء المصرية عن حكم تناول المخدرات وتعاطيها. ,بيان خطورة تعاطي المخدرات ومعارضتها لمقاصد الشرع
" ما حكم قول: ""تشفعت بجاه الحبيب عليه الصلاة والسلام""؟ حيث يوجد مقولة منتشرة بين الناس يقولون: ""تشفعت بجاه الحبيب عليه الصلاة والسلام""، فما حكم التلفظ بها؟ ","حكم قول: ""تشفعت بجاه الحبيب عليه الصلاة والسلام"""
 يقول السائل: لي ثلاثة أبناء لا يعملون، فهل يجوز أن آخذ قرضًا من الصندوق الاجتماعي للخريجين وأقوم بعمل مشروع تجاري لهم؟ ,حكم أخذ قرض لتمويل مشروعات الخريجين
